name,reviews,rating,fulladdr,latitude,longitude,categories
Kiosko sushi and more,25,4.7,Piazza Riccardo Wagner. 15A. 20145 Milano MI,45.4681977,9.1556406,Sushi Ristorante.Giapponese Ristorante.Takeout Ristorante Magna
Bistr 23 La gastronomia naturale,25,4.6,Via Principe Eugenio. 23. 20155 Milano MI,45.4900239,9.1645458,Vegan Ristorante Magna
Rivington - Cucina New York,25,4.6,Via Giovanni Battista Pirelli. 20. 20124 Milano MI,45.484299,9.198636,Ristorante.American Ristorante.Fine dining Ristorante Magna
Bar Atlantic,25,4.6,Corso Genova. 19. 20122 Milano MI,45.456825,9.1752428,Espresso bar.Bar.Cafe.Cafeteria.Chocolate cafe.Juice shop.Lunch Ristorante.Ristorante.Sandwich shop Magna
Pan Per Focaccia,25,4.6,Via Tortona. 17. 20144 Milano MI,45.453052,9.167012,Bakery.Coffee shop.Dessert shop.Italiano Ristorante.Pastry shop.Patisserie.Pizza takeaway.Sandwich shop Magna
Istanbul Kebap Pizzeria,25,3.2,Via Cesare Cant. 2. 20123 Milano MI,45.4644787,9.1868716,Middle Eastern Ristorante Magna
70volte7 | Bookcafè . Pub . Restaurant,26,5,Alzaia Naviglio Pavese. 2. 20143 Milano MI,45.4520357,9.1776055,Ristorante Magna
ISSEI Rooftop,27,4.8,Via Santa Sofia. 37. 20122 Milano MI,45.4559011,9.1876748,Cocktail bar.Ristorante Magna
Bar Caff,28,4.2,Via Paolo Sarpi. 50. 20154 Milano MI,45.4812276,9.1726902,Bar.Cafe Magna
Garam Masala ristorante indiano classico,28,3.9,P.za Ventiquattro Maggio. 10. 20123 Milano MI,45.4531342,9.1788998,Indiano Ristorante Magna
Bar 99,28,3.8,Via Paolo Sarpi. 11/9. 20154 Milano MI,45.4815978,9.1794105,Bar Magna
Bar Giardino,28,3.3,Via Santa Sofia. 18. 20122 Milano MI,45.4572267,9.1904831,Bar.Tobacco shop Magna
Bar Tabacchi Valerio,29,4.7,Via Cesare Correnti. 7. 20123 Milano MI,45.4596944,9.1799777,Bar tabac Magna
Willy's bar,29,4.3,V.le Sabotino. 1. 20141 Milano MI,45.4511025,9.1971439,Bar.Greengrocer Magna
GustaMi Bakery (S. Ambrogio),29,4.3,Via San Vittore. 3. 20123 Milano MI,45.4624388,9.173048,Bakery.Bar.Breakfast Ristorante.Cafe.Coffee shop.Espresso bar.Pastry shop Magna
Bar Tabacchi Arena,29,4.1,Via Arena ang. Via Scaldasole. 20. 20123 Milano MI,45.4551345,9.1787652,Bar.Cafeteria Magna
Toki Sushi Restaurant,30,5,Via Giulio Cesare Procaccini. 54. 20154 Milano MI,45.4817668,9.1673629,Giapponese Ristorante Magna
Ci Vediamo Noodle,30,5,Via Alserio. 15. 20159 Milano MI,45.4908965,9.1869632,Ramen Ristorante.Cinese noodle Ristorante Magna
Slowear18 | Mixology Bar,30,4.8,Via Solferino. 18. 20121 Milano MI,45.4749262,9.1870943,Cocktail bar.Espresso bar Magna
La Palma Ristorante Pizzeria Forno a Legna,30,4.7,Via Masolino da Panicale. 13. 20155 Milano MI,45.494009,9.1521272,Ristorante.Bar.Delivery service.Indiano Ristorante.Italiano Ristorante.Pan-Asiatico Ristorante.Pizza Ristorante.Pub.South Asiatico Ristorante.Sri Lankan Ristorante Magna
Don Julio,30,4.7,Piazza Emilia. 4. 20129 Milano MI,45.4626257,9.217638,Argentino Ristorante.Ristorante Magna
Cafe' Real,30,4.2,Corso Ventidue Marzo. 28. 20135 Milano MI,45.4621102,9.2143587,Bar.Cafe.Beer hall.Sandwich shop Magna
Principe Bar,30,4.2,Piazza della Repubblica. 17. 20124 Milano MI,45.4799486,9.196498,Bar Magna
La Piadineria,30,3.7,C.so Lodi. 11. 20135 Milano MI,45.4508798,9.2049645,Fast food Ristorante.Family Ristorante.Health food Ristorante.Italiano Ristorante.Takeout Ristorante.Ristorante.Traditional Ristorante.Vegetarian Ristorante Magna
OMG!,31,4.8,Piazza Insubria. 3. 20137 Milano MI,45.4534771,9.2217326,Filippino Ristorante Magna
Food Heaven - Cucina Indiana,31,4.7,Via Nino Bixio. 16. 20129 Milano MI,45.4722742,9.2097675,Indiano takeaway.Halal Ristorante.Health food Ristorante.Indiano Ristorante.Non vegetarian Ristorante.Pakistani Ristorante.Vegetarian Ristorante Magna
Bar dell'Angolo,31,4.3,V.le Sabotino. 10. 20135 Milano MI,45.4508462,9.1990791,Bar.Cafe.Fast food Ristorante Magna
Bar Cheers,31,4.1,Via Ascanio Sforza. 63. 20136 Milano MI,45.4452801,9.1767322,Bar tabac.Bar Magna
Pizzeria Folomina,31,3,Via Lorenzo Bartolini. 50-52. 20155 Milano MI,45.4925709,9.1513487,Pizza Ristorante Magna
VPiano attico gourmet,32,4.4,Via Mantova. 12. 20135 Milano MI,45.4478421,9.206776,Ristorante Magna
Bar GINZA,32,4.2,Via Giuseppe Giusti. 10. 20154 Milano MI,45.4803554,9.1780226,Wine bar.Coffee shop Magna
Famous Restaurant,32,3.9,Via Antonio Rosmini. 14. 20154 Milano MI,45.4809641,9.1749632,Cinese Ristorante Magna
Est bar,33,4.8,Via Tortona. 12. 20144 Milano MI,45.4543388,9.1692802,Bar Magna
Ristorante Cinese Bbq By Chef Restaurant,33,4.1,Via Antonio Rosmini. 16. 20154 Milano MI,45.4810264,9.1748195,Cinese Ristorante Magna
Habesha Restaurant,33,3.9,Via Panfilo Castaldi. 19. 20124 Milano MI,45.4772634,9.2021268,Ethiopian Ristorante Magna
Pizzeria Mamma Mia,34,4.7,Piazzale Carlo Maciachini. 20. 20159 Milano MI,45.4979562,9.1841702,Pizza Ristorante.Pizza takeaway Magna
Salum & Caf,34,4.4,Via del Fusaro. 2. 20146 Milano MI,45.4612787,9.1518602,Bistro Magna
New Sigiri Lanka Restaurant,34,3.5,Via Padova. 16. 20131 Milano MI,45.4874865,9.2188163,Ristorante Magna
All in food and bar,35,4.9,Via Alfonso Lamarmora. 18. 20122 Milano MI,45.4564582,9.1985479,Bar.Bistro.Ristorante Magna
Bar Settembrini,35,4.6,Via Luigi Settembrini. 33. 20124 Milano MI,45.4832285,9.2073586,Bar Magna
Six Restaurant Club,35,4.3,Via Mike Bongiorno. 13. 20124 Milano MI,45.4818217,9.1945594,Ristorante Magna
