name,reviews,rating,fulladdr,latitude,longitude,categories
Gastronomia Da Gennaro,10,4.6,Via Ferrante Imparato. 80146 Napoli NA,40.8508737,14.2995442,Neapolitan restaurant
La Bufala,10,4.6,Via Plebiscito a Piscinola. 28. 80145 Napoli NA,40.8932276,14.2364855,Restaurant
La cucina del sole,10,4.5,Via del Sole. 8a. 80138 Napoli NA,40.8511243,14.253823,Italian restaurant
Bistrot Napoli,10,4.4,Via Domenico Aulisio. E6. 80143 Napoli NA,40.857843,14.2846342,Restaurant
Libeccio: Bucciarati’s Favorite Restaurant,10,4.3,80142 Naples. Metropolitan City of Naples,40.8541212,14.2688114,Southern Italian restaurant
Il Medaglione,10,3.3,Via Attilio Micheluzzi. 28. 80144 Napoli NA,40.9103145,14.2410504,Pizza restaurant.Italian restaurant
Resilienza food e bar,11,4.6,Piazza Nazionale. 55. 80143 Napoli NA,40.8584782,14.2746726,Bar & grill
SUSHI SAKURA,11,4.5,Piazza Madonna dell'Arco. 12. 80145 Napoli NA,40.8855609,14.255557,Sushi takeaway
Pollo è Coccos Napoli,11,4.5,Via Martiri D'Otranto. 34. 80141 Napoli NA,40.8566419,14.2675678,Chicken restaurant
Small Restaurant & Lounge Bar,11,3.9,Via Coroglio. 144. 80124 Napoli NA,40.8023117,14.1748855,Restaurant
Jarden Restaurant,12,4.2,Via Pietro Donadio. km 9+500. 80024 Cardito NA,40.9307162,14.2984537,Restaurant
Ristorante TANKAO,12,4,Via Nazionale. 63. 80143 Napoli NA,40.8576255,14.2738581,Barbecue restaurant.Chinese restaurant
Pizzeria A Sciantosa,12,3.3,Via Elvira Notari. 80147 Napoli NA,40.8482972,14.3316703,Restaurant.Pizza restaurant
Pitaus,12,3.3,Via Nuova S. Rocco. 29. 80131 Napoli NA,40.8775866,14.2399039,Restaurant
Zinzi,12,3.3,80141 Naples. Metropolitan City of Naples,40.8588616,14.267183,Restaurant
Food,13,4.1,Via Egiziaca a Forcella. 26. 80139 Napoli NA,40.8504681,14.2647737,Restaurant
New Indian Market,13,4.1,Via Stella. 80137 Napoli NA,40.8550677,14.2529804,Grocery store.Indian restaurant
bilal kebab,13,3.9,Via Miano. 110. 80144 Napoli NA,40.886449,14.249655,Restaurant
Lo Stuzzichino Sas,13,3.8,Via Emilio Scaglione. 29/32. 80145 Napoli NA,40.8787294,14.2367799,Sandwich shop.Supermarket
nino's pub capodichino,14,4.7,Calata Capodichino. 121. 80141 Napoli NA,40.8715349,14.2689951,Sandwich shop
La Cucina di Gina,14,4.6,Via Rocco Galdieri. 6. 80123 Napoli NA,40.8065009,14.2008722,Restaurant
Cornetteria la favola di Elio Russo,14,4.4,P.za Gaspare di Nocera. 17. 80020 Casavatore NA,40.900283,14.2736771,Hamburger restaurant
Su Ali D'Aquila,14,4.4,Via Santa Maria a Cubito. 581. 80145 Napoli NA,40.8954195,14.2139728,Restaurant.Pizza restaurant
Pizzeria Marcus,14,4,Via Francesco Petrarca. 35. 80123 Napoli NA,40.8080601,14.1980582,Pizza restaurant
