name,reviews,rating,fulladdr,latitude,longitude,categories
Bar Zagara,25,2.1,Via Vigentina. 21. 27100 Pavia PV,45.2050575,9.172833,Bar Magna
ImPasto.D.d,30,4.9,Corso Carlo Alberto. 36. 27100 Pavia PV,45.187602,9.1571945,Pizza takeaway Magna
Mondogelato,31,2.5,Strada Provinciale Vigentina 205. C.C. Carrefour. 27100. PV,45.2051864,9.1735354,Bar Magna
Sushi Daily Pavia,32,4,Via Cassani S.P. Vigentina. Via cassani. 27100 Pavia PV,45.2056054,9.175615,Sushi takeaway.Conveyor belt sushi restaurant.Food producer.Sushi restaurant Magna
Totò,34,4,Via Indipendenza. 36. 27100 Pavia PV,45.1935584,9.1547367,Pizza restaurant Magna
Fratelli di Pizza - Tre Torri,37,4.9,Via Lazzaro Spallanzani. 6. 27100 Pavia PV,45.1862403,9.1593599,Restaurant.Italian restaurant Magna
L oca nera,39,4.8,Via Camillo Campari. 73. 27100 Pavia PV,45.1881577,9.1721673,Restaurant Magna
Bar Shisha da Alex,40,4.4,Via S. Pietro in Verzolo. 32. 27100 Pavia PV,45.1803154,9.1850719,Bar Magna
Discopub Tarek,41,4.3,Via Vigentina. 19. 27100 Pavia PV,45.1996955,9.1695299,Bar Magna
Il Caffè all'Università,42,4.1,Corso Carlo Alberto. 1. 27100 Pavia PV,45.1871315,9.1573073,Caterer.Banquet hall.Bar.Restaurant Magna
Kebap Pizza,42,4,Via Alessandro Guidi. 27100 Pavia PV,45.1886723,9.1463021,Kebab shop.Fast food restaurant Magna
Pasticceria Mazzocchi Sas,43,4.3,Corso Cairoli. 78/80. 27100 Pavia PV,45.1894431,9.1611707,Dessert restaurant Magna
Pizza House New,46,4.8,Via dei Mille. 43. 27100 Pavia PV,45.1788424,9.1514408,Pizza restaurant.Italian restaurant Magna
Pesciolino,49,4.2,Corso Giuseppe Garibaldi. 8. 27100 Pavia PV,45.1830016,9.1558581,Restaurant Magna
Panini Durini,50,4.2,S.da Nuova. 116. 27100 Pavia PV,45.1869617,9.1558183,Bar.Sandwich shop Magna
Light Cuisine,51,4.7,Via Antonio Bordoni. 5. 27100 Pavia PV,45.1855541,9.1564163,Fast food restaurant Magna
ÉLITE CAFÈ,52,4.6,Corso Camillo Benso Cavour. 30/F. 27100 Pavia PV,45.1864013,9.150258,Bar.Small plates restaurant Magna
Golden Dragon - Asian Food Pavia,55,4.6,Corso Giuseppe Mazzini. 8. 27100 Pavia PV,45.1853356,9.1558327,Asian restaurant Magna
Pomodoro e Mozzarella,55,3.6,Via Rezia. 22. 27100 Pavia PV,45.1837425,9.1534634,Pizza takeaway.Italian restaurant.Pizza restaurant Magna
Miss Momo-casa Ramen-ravioleria Cantonese,56,4.3,Corso Camillo Benso Cavour. 20. 27100 Pavia PV,45.1858435,9.1517053,Ramen restaurant.Bubble tea store.Dumpling restaurant Magna
Gold sushi bar 2,58,4.6,Viale Cremona. 171. 27100 Pavia PV,45.177518,9.2001412,Asian restaurant Magna
Creperia Yogurteria Da Nicola,59,4.6,Piazza della Vittoria. 10. 27100 Pavia PV,45.18596,9.154377,Creperie.Frozen yogurt shop Magna
Pizza Soft,59,4.2,Via Volturno. 27. 27100 Pavia PV,45.1837638,9.1553067,Pizza restaurant.Macrobiotic restaurant.Vegan restaurant Magna
Da Petti,60,4.6,Via dei Mille. 47. 27100 Pavia PV,45.1787651,9.1513658,Restaurant.Caterer Magna
Bordoni Bistrot by Amare,60,4.6,Via Antonio Bordoni. 26. 27100 Pavia PV,45.1859187,9.156446,Bistro Magna
Hungry roads,60,3.6,S.da Nuova. 76. 27100 Pavia PV,45.1847717,9.1549246,Fast food restaurant Magna
Ristorante Porto...fino,61,4.6,S.da Nuova. 75. 27100 Pavia PV,45.1883562,9.1563246,Restaurant Magna
Pizzeria Garibaldi,61,4.1,Corso Giuseppe Garibaldi. 70. 27100 Pavia PV,45.1813826,9.1648693,Pizza takeaway Magna
Zio Max 3,64,4,Via Antonio Gramsci. 39. 27100 Pavia PV,45.1920423,9.1898211,Pizza restaurant Magna
Pizzeria L'Ancora,64,3.9,Via Camillo Campari. 17. 27100 Pavia PV,45.1890088,9.1662461,Pizza takeaway.Pizza restaurant Magna
Bar Bistrot in Naviglio,69,4.5,Viale Sardegna. 64. 27100 Pavia PV,45.1861241,9.1665158,Bistro.Bar.Restaurant Magna
Pizzeria Del Nilo,69,4.3,Via Solferino. 28. 27100 Pavia PV,45.1930973,9.1813817,Pizza restaurant.Kebab shop Magna
Miccone,73,4.7,Via Cardinale Riboldi. 48. 27100 Pavia PV,45.18431,9.15267,Sandwich shop.Brunch restaurant.Coffee shop Magna
Sakura,80,4,Via dei Mille. 57. 27100 Pavia PV,45.1785705,9.1512061,Restaurant.Chinese restaurant.Japanese restaurant.Sushi restaurant Magna
