name,reviews,rating,fulladdr,latitude,longitude,categories
Mister tacos,12,5,Via Legnano. 29121 Piacenza PC,45.0510691,9.6983763,Moroccan restaurant Magna
Osteria dal 5,13,4.9,Via Umberto Gambara. 6. 29122 Piacenza PC,45.0455113,9.707084,Restaurant Magna
Cantina Alcolica Piacenza Centro,15,4.5,Piazza Cavalli. 13. 29121 Piacenza PC,45.0527318,9.6922448,Italian restaurant Magna
The Black Rose,15,4.7,Via Calzolai. 30. 29121 Piacenza PC,45.0529469,9.6915095,Bistro Magna
Lezzet Istanbul,16,4.6,Via Cristoforo Colombo. 46. 29122 Piacenza PC,45.0455476,9.7086574,Kebab shop Magna
Skiathos Piacenza,17,4.5,Via Aurelio Nicolodi. 23. 29122 Piacenza PC,45.0450416,9.6872913,Pizza restaurant.Bar Magna
Caffetteria San Carlo Di Alfio Misso E C. S.a.s.,19,4.6,Via Sopramuro. 9. 29121 Piacenza PC,45.0517752,9.6934146,Cafeteria.Dessert restaurant Magna
Centrale,20,3.9,Via S. Bartolomeo. 8. 29121 Piacenza PC,45.0544824,9.6858871,Italian restaurant.Buffet restaurant.Health food restaurant Magna
La Piadineria,23,4,Via Emilia Parmense. 151. 29122 Piacenza PC,45.0274521,9.7371325,Fast food restaurant.Family restaurant.Health food restaurant.Italian restaurant.Takeout restaurant.Restaurant.Small plates restaurant.Traditional restaurant Magna
Cantina alcolica,26,4.7,Piazza Cavalli. 13. 29121 Piacenza PC,45.0527318,9.6922448,Italian restaurant.Espresso bar.Pizza restaurant.Small plates restaurant Magna
I cucinieri in Duomo,26,4.3,Piazza Duomo. 17. 29121 Piacenza PC,45.0511824,9.6973087,Italian restaurant Magna
Pokeria Mania Food,26,4.6,Via Cittadella. 60. 29121 Piacenza PC,45.0545811,9.6945517,Poke bar Magna
bar della borsa,27,4.3,Galleria Borsa. 28/C. 29121 Piacenza PC,45.0529629,9.6932929,Restaurant.Coffee shop.Pizza restaurant.Pub Magna
I Love Poke Piacenza,34,4.7,Corso Vittorio Emanuele II. 95. 29100 Piacenza PC,45.0503516,9.6905943,Poke bar Magna
Pizzeria da Profi's,39,4.6,Via Camillo Benso Cavour. 58. 29122 Piacenza PC,45.0539863,9.6952877,Pizza restaurant Magna
Foody’s Halal Burger.Kebab & Grill,42,4.5,Via Scalabrini. 122/A. 29121 Piacenza PC,45.0475478,9.7040833,Fast food restaurant Magna
La Casita Rodriguez Restaurant,43,4.5,Via Veneto. 42. 29122 Piacenza PC,45.041926,9.6791091,South American restaurant Magna
Poke Kal - Piacenza,48,4.4,Corso Vittorio Emanuele II. 95. 29121 Piacenza PC,45.0503516,9.6905943,Poke bar.Hawaiian restaurant Magna
Osteria santafranca,51,4.3,Via Santa Franca. 52. 29121 Piacenza PC,45.0474668,9.6908253,Restaurant Magna
Ali Baba 40 Gusti,52,4,29122 Piacenza. Province of Piacenza,45.0455172,9.7087102,Restaurant Magna
IO,54,4.3,Via Pietro Giordani. 14. 29121 Piacenza PC,45.0468121,9.6923434,Restaurant Magna
Miva kebab,55,4,Via IV Novembre. 112. 29122 Piacenza PC,45.0448197,9.6917595,Turkish restaurant Magna
Pokeria by Guevet,55,4.8,Via Calzolai. 68. 29121 Piacenza PC,45.0534338,9.6905683,Hawaiian restaurant.Poke bar Magna
The Poke Lab,61,3.4,Via Camillo Benso Cavour. 11. 29121 Piacenza PC,45.0529567,9.6942781,Restaurant Magna
Non Solo Pizza,62,4.6,Via Giulio Alberoni. 20/A. 29121 Piacenza PC,45.050791,9.701121,Pizza restaurant.Bakery Magna
