 name, reviews, rating, fulladdr, latitude, longitude, categories, working_days, service_options
La Camolina Ole,not provided,not provided,Via Lodivecchio. 30. 26900 Lodi LO,45.3109538,9.4868063,Italian restaurant,Monday:8 AM–3:30 PM .Tuesday:8 AM–3:30 PM .Wednesday:8 AM–3:30 PM .Thursday:8 AM–3:30 PM .Friday:8 AM–3:30 PM .Saturday:8 AM–3:30 PM .Sunday:Closed ,Kerbside pickup & Delivery & Takeaway & Dine-in
Sant'Agnese Di Di Gregorio Francesca,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123112,9.503291,Pizza restaurant,not provided,Takeaway & Dine-in
La Camolina Ole,not provided,not provided,Via Lodivecchio. 30. 26900 Lodi LO,45.3109538,9.4868063,Italian restaurant,Monday:8 AM–3:30 PM .Tuesday:8 AM–3:30 PM .Wednesday:8 AM–3:30 PM .Thursday:8 AM–3:30 PM .Friday:8 AM–3:30 PM .Saturday:8 AM–3:30 PM .Sunday:Closed ,Kerbside pickup & Delivery & Takeaway & Dine-in
Via Marsala 33,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123367,9.5033536,Restaurant,Monday:Closed .Tuesday:11 AM–2:30 PM & 7–10:30 PM .Wednesday:11 AM–2:30 PM & 7–10:30 PM .Thursday:11 AM–2:30 PM & 7–10:30 PM .Friday:11 AM–2:30 PM & 7–10:30 PM .Saturday:11 AM–2:30 PM & 7–10:30 PM .Sunday:Closed ,Takeaway & Dine-in
Sant'Agnese Di Di Gregorio Francesca,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123112,9.503291,Pizza restaurant,not provided,Takeaway & Dine-in
Via Marsala 33,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123367,9.5033536,Restaurant,Monday:Closed .Tuesday:11 AM–2:30 PM & 7–10:30 PM .Wednesday:11 AM–2:30 PM & 7–10:30 PM .Thursday:11 AM–2:30 PM & 7–10:30 PM .Friday:11 AM–2:30 PM & 7–10:30 PM .Saturday:11 AM–2:30 PM & 7–10:30 PM .Sunday:Closed ,Takeaway & Dine-in
Sant'Agnese Di Di Gregorio Francesca,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123112,9.503291,Pizza restaurant,not provided,Takeaway & Dine-in
Via Marsala 33,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123367,9.5033536,Restaurant,Monday:Closed .Tuesday:11 AM–2:30 PM & 7–10:30 PM .Wednesday:11 AM–2:30 PM & 7–10:30 PM .Thursday:11 AM–2:30 PM & 7–10:30 PM .Friday:11 AM–2:30 PM & 7–10:30 PM .Saturday:11 AM–2:30 PM & 7–10:30 PM .Sunday:Closed ,Takeaway & Dine-in
Sant'Agnese Di Di Gregorio Francesca,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123112,9.503291,Pizza restaurant,not provided,Takeaway & Dine-in
Via Marsala 33,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123367,9.5033536,Restaurant,Monday:Closed .Tuesday:11 AM–2:30 PM & 7–10:30 PM .Wednesday:11 AM–2:30 PM & 7–10:30 PM .Thursday:11 AM–2:30 PM & 7–10:30 PM .Friday:11 AM–2:30 PM & 7–10:30 PM .Saturday:11 AM–2:30 PM & 7–10:30 PM .Sunday:Closed ,Takeaway & Dine-in
Sant'Agnese Di Di Gregorio Francesca,not provided,not provided,Via Marsala. 33. 26900 Lodi LO,45.3123112,9.503291,Pizza restaurant,not provided,Takeaway & Dine-in
ROSSO RUBINO,not provided,not provided,Via Borgo Adda. 1. 26900 Lodi LO,45.3175145,9.5079025,Restaurant.Wine store,Monday:11 AM–3:30 PM .Tuesday:11 AM–3:30 PM & 6:30–11 PM .Wednesday:11 AM–3:30 PM & 6:30–11 PM .Thursday:11 AM–3:30 PM & 6:30–11 PM .Friday:11 AM–3:30 PM & 6:30–11 PM .Saturday:11 AM–3:30 PM & 6:30–11 PM .Sunday:11 AM–3:30 PM & 6:30–11 PM ,In-store shopping
ROSSO RUBINO,not provided,not provided,Via Borgo Adda. 1. 26900 Lodi LO,45.3175145,9.5079025,Restaurant.Wine store,Monday:11 AM–3:30 PM .Tuesday:11 AM–3:30 PM & 6:30–11 PM .Wednesday:11 AM–3:30 PM & 6:30–11 PM .Thursday:11 AM–3:30 PM & 6:30–11 PM .Friday:11 AM–3:30 PM & 6:30–11 PM .Saturday:11 AM–3:30 PM & 6:30–11 PM .Sunday:11 AM–3:30 PM & 6:30–11 PM ,In-store shopping
