name,reviews,rating,fulladdr,latitude,longitude,categories
Gastronomia Caffe Paradiso,25,4.9,Via Giulio Romano. 42. 00196 Roma RM,41.9328002,12.4651886,Restaurant Magna
Panini XXL Da Sgrasso,25,4.8,di fronte a Unieuro. Via John F. Kennedy. 00043 Ciampino RM,41.8176554,12.5846789,Sandwich shop.Fast food restaurant.Hamburger restaurant Magna
Pizzeria Pronto Pizza - di Ciaffi Barbara,25,4.7,Via di Grottarossa. 163. 00189 Roma RM,41.9734735,12.4415872,Pizza restaurant Magna
Mozart Di Da Emi Bar Srl,25,4.4,Via Tuscolana. 1820. 00173 Roma RM,41.8414374,12.5853189,Bar Magna
Bonasserie,25,4.3,Via Giulio Vincenzo Bona. 105. 00156 Roma RM,41.9271198,12.6040905,Restaurant Magna
MONDO PIZZA,25,4.2,Via Giuseppe Marotta. 5. 00143 Roma RM,41.8148888,12.4820174,Pizza restaurant Magna
Graffiti Urban Bistrot,25,4.1,presso Warmthotel. Via Giuseppe Prezzolini. 5. 00143 Roma RM,41.8125818,12.4753328,Restaurant Magna
Burger king,25,4.1,Via di Tor Sapienza. 201. 00155 Roma RM,41.8945849,12.5923852,Fast food restaurant Magna
Buddha Restaurant,25,3.7,Piazza Umberto Elia Terracini. 10. 00144 Roma RM,41.8299127,12.4659027,Restaurant Magna
Pizzeria Deliziami,26,5,Via dei Colombi. 94a. 00169 Roma RM,41.8705839,12.5938519,Pizza restaurant Magna
小杨早餐店,26,4.9,Via dell'Omo. 32. 00155 Roma RM,41.8912382,12.6086412,Breakfast restaurant Magna
Addore - Ojetti,26,4.8,Via Ugo Ojetti. 482. 00137 Roma RM,41.9500794,12.5586511,Pizza restaurant.Neapolitan restaurant.Restaurant Magna
Fiorito,26,4.8,Via Antonio Serra. 11. 00191 Roma RM,41.9435423,12.4726077,Restaurant Magna
El Dorado,26,4.4,Via Prenestina. 135. 00176 Roma RM,41.8925187,12.5338466,Peruvian restaurant Magna
Hostaria Pizzería,26,4.2,Via Gaspare Gozzi. 45. 00145 Roma RM,41.8557183,12.4786789,Pizza restaurant Magna
Mollica Ponte Milvio,27,5,Piazzale di Ponte Milvio. 27. 00191 Roma RM,41.9378353,12.4660637,Sandwich shop Magna
INEO Restaurant,27,4.9,P.za della Repubblica. 46. 00184 Roma RM,41.9019457,12.49618,Restaurant Magna
Pizza Fucini Roma,27,4.7,Via Renato Fucini. 122. 00137 Roma RM,41.9512134,12.5480517,Pizza restaurant Magna
Bar Braceria Ristorante,27,4.6,Via Enrico Giglioli. 105. 00169 Roma RM,41.8715471,12.5987568,Restaurant Magna
Pokeria Tiburon,27,4.5,Viale Adriatico. 75. 00141 Roma RM,41.9396838,12.535684,Hawaiian restaurant Magna
Gelateria Panna e Cioccolato,27,4.3,Via della Rustica. 269B. 00155 Roma RM,41.9142089,12.6105515,Ice cream shop.Cake shop.Chocolate shop.Gluten-free restaurant.Italian restaurant.Pancake restaurant.Vegan restaurant Magna
Pizza Rustica Girarrosto e...,27,4.3,Via di Valle Melaina. 18. 00139 Roma RM,41.9469701,12.5258482,Pizza restaurant Magna
Panynozzo & Rosett'one,28,5,Via Marco Decumio. 24 F. 00174 Roma RM,41.8622777,12.5485656,Food producer.Sandwich shop.Soul food restaurant Magna
Italian's bbq Stand Gastronomico Itinerante,28,4.9,Viale della Tecnica. 245. 00144 Roma RM,41.8247539,12.4578548,Barbecue restaurant Magna
La Spizzichina,28,4.7,Via dei Due Ponti. 00189 Roma RM,41.9653953,12.4537331,Pizza restaurant.Supermarket Magna
Dispensa Emilia _ Maximo Shopping Center,28,4.3,Via Laurentina. 865. 00143 Roma RM,41.8072997,12.4858027,Restaurant Magna
Cucina Cinese,28,4,Via Giacomo Bresadola. 76. 00171 Roma RM,41.8923773,12.5614833,Thai restaurant Magna
Daje pizza,28,2.9,Via Mario Broglio. 51. 00173 Roma RM,41.833221,12.5808198,Pizza takeaway Magna
Il Tempio di Bacco - Enoteca Vino Sfuso,29,4.9,Via Dameta. 14. 00155 Roma RM,41.9150677,12.6095522,Wine bar.Cafe.Italian grocery store.Liquor store.Wine store Magna
Da Giordano al Mercato,29,4.8,Villa Gordiani. A.G.S. Mercato. Via Rovigno d'Istria. 00177 Roma RM,41.8957755,12.5567486,Pizza restaurant Magna
Orientale Ristorante,29,4.4,Via Casilina. 487. 00177 Roma RM,41.879903,12.5433309,Indian restaurant Magna
Gabrio Ristorante Pinseria,29,4.3,Piazza di Monte Gaudio. 29. 00135 Roma RM,41.9356561,12.4366355,Restaurant Magna
U Bais a Roma,29,3.7,Via Flaminia. 495. 00191 Roma RM,41.939464,12.469108,Restaurant.Seafood restaurant Magna
Michela Home Restaurant Roma,30,5,Piazza di S. Calisto. 13. 00136 Roma RM,41.8886618,12.4706196,Restaurant Magna
Mondo Pizza,30,4.6,Via Francesco Grimaldi. 129/131. 00146 Roma RM,41.8649211,12.4661896,Pizza restaurant.Pizza takeaway Magna
EXCLUSIVE PIZZERIA,30,4.1,Via Silicella. 26c. 00133 Roma RM,41.8642271,12.5985251,Pizza restaurant Magna
Dodò Pizzeria - Kebab - Tavola calda,30,4,Piazza Nicola Maria Nicolai. 11-13. 00156 Roma RM,41.9451259,12.5697227,Pizza restaurant Magna
