name,reviews,rating,fulladdr,latitude,longitude,categories
Istanbul Ayasofya Kebab Pizza,25,3.8,C.so Giulio Cesare. 142a. 10154 Torino TO,45.0948698,7.6956279,Pizza restaurant.Kebab shop Magna
Antica Caffetteria di Ranellucci Masslmo,25,4.4,Via Torino. 207. 10042 Nichelino TO,44.991101,7.6422741,Cafe Magna
PizzStop,25,4.6,Via Buenos Aires. 23. 10134 Torino TO,45.0353703,7.6459732,Pizza takeaway Magna
Patatoast - Toasteria & Street Food,25,4.1,Corso Racconigi. 50d. 10137 Torino TO,45.0687914,7.6458705,Gastropub.Deli Magna
Pizzeria Kebap Corso Belgio,25,3.9,Corso Belgio. 58. 10153 Torino TO,45.0728009,7.713057,Pizza restaurant Magna
La Favola 2,26,4.9,C.so Giulio Cesare. 74. 10154 Torino TO,45.0890389,7.6919717,Restaurant Magna
Sisters Ma.Mi,26,3.9,Via Villa Cristina. 3. 10093 Savonera TO,45.1149671,7.613915,Bar Magna
Il Zic Zac,26,3.7,Corso Belgio. 58. 10153 Torino TO,45.0727638,7.7130771,Restaurant Magna
Bar Tabaccheria Miky,27,4.3,corso machiavelli orario dalle 7:00 alle 19:15. 10078 Venaria Reale TO,45.1223561,7.6190008,Bar Magna
YoYogurt di Massimo a Nichelino Yogurt gelato. Crepes e Bubble Tea,27,4.5,Via Torino. 121A. 10042 Nichelino TO,44.9965951,7.6495449,Frozen yogurt shop.Creperie Magna
Bar La Nuvola,27,4.4,Via Pio VII. 140. 10127 Torino TO,45.0199885,7.6491026,Bistro.Bar Magna
Dalla Terra Al Cielo,27,4.3,Corso Tortona. 16. 10153 Torino TO,45.0713899,7.7079682,Health food store.Bakery.Fruit and vegetable store.Gourmet grocery store.Herb shop.Japanese grocery store.Vegan restaurant.Vegetarian cafe and deli Magna
La Casareccia,27,4.6,Via Vincenzo Porri. 7. 10153 Torino TO,45.0723597,7.7239366,Italian restaurant Magna
